timestamp,price,bid,ask
1763424572,92220.30482726896,0.82,0.84
1763424573,92219.510916,0.82,0.84
1763424574,92220.13469236385,0.82,0.84
1763424575,92220.13386140455,0.82,0.84
1763424576,92219.367704,0.82,0.84
1763424577,92219.4876975,0.81,0.84
1763424578,92218.87905,0.82,0.84
1763424579,92218.40267941006,0.82,0.84
1763424580,92218.40057975298,0.82,0.84
1763424581,92218.38959684134,0.83,0.84
1763424582,92221.4049384317,0.84,0.86
1763424583,92221.4049384317,0.83,0.86
1763424584,92226.37736830737,0.84,0.86
1763424585,92227.28339119711,0.85,0.86
1763424586,92239.52693031412,0.84,0.86
1763424587,92239.52693031412,0.85,0.86
1763424588,92239.84675520466,0.85,0.86
1763424589,92239.84675520466,0.85,0.86
1763424597,92236.69299069371,0.85,0.87
1763424598,92236.69299069371,0.86,0.87
1763424599,92236.30067401018,0.86,0.88
1763424600,92239.040943822,0.85,0.86
1763424601,92239.040943822,0.83,0.85
1763424602,92220.52474720398,0.84,0.86
1763424603,92227.8126483333,0.8,0.82
1763424604,92227.8126483333,0.81,0.82
1763424605,92207.63042111826,0.81,0.82
1763424606,92207.63042111826,0.8,0.83
1763424607,92207.51804572695,0.81,0.83
1763424608,92207.51804572695,0.82,0.83
1763424609,92212.59176850489,0.81,0.83
1763424610,92206.79800577143,0.81,0.83
1763424611,92206.79937427143,0.81,0.83
1763424612,92210.943868,0.82,0.83
1763424613,92211.3434115,0.82,0.83
1763424614,92211.24394615031,0.82,0.83
1763424615,92212.60240979666,0.83,0.84
1763424616,92215.227121,0.83,0.84
1763424617,92215.227121,0.84,0.85
1763424618,92218.40370541379,0.82,0.84
1763424619,92218.40370541379,0.81,0.84
1763424620,92218.378204,0.83,0.84
1763424621,92217.990052,0.83,0.84
1763424622,92217.8581525,0.83,0.85
1763424623,92217.8661275,0.83,0.85
1763424624,92219.827734,0.83,0.86
1763424625,92223.1446125,0.85,0.86
1763424626,92223.449979,0.84,0.85
1763424627,92223.102671,0.84,0.87
1763424628,92221.0729138221,0.85,0.86
1763424629,92221.0729138221,0.83,0.86
1763424630,92212.40660265353,0.83,0.86
1763424631,92212.16807941797,0.83,0.85
1763424632,92206.61556973918,0.82,0.85
1763424633,92204.29715358916,0.82,0.84
1763424634,92207.57286845129,0.82,0.84
1763424635,92205.32355870187,0.82,0.84
1763424636,92205.46798755701,0.82,0.84
1763424637,92205.46798755701,0.82,0.84
1763424638,92206.97556772365,0.82,0.84
1763424639,92206.97556772365,0.82,0.84
1763424640,92205.66993233167,0.83,0.85
1763424641,92205.66993233167,0.84,0.85
1763424642,92209.08277767773,0.84,0.85
1763424643,92208.87745232736,0.84,0.85
1763424644,92208.43898553734,0.84,0.85
1763424645,92208.43898553734,0.84,0.85
1763424646,92209.05310239962,0.84,0.85
1763424647,92208.75182213918,0.84,0.85
1763424648,92207.20165634593,0.85,0.86
1763424649,92207.20165634593,0.85,0.86
1763424650,92210.12873678388,0.84,0.85
1763424651,92208.26954920922,0.84,0.86
1763424652,92207.92830917021,0.85,0.86
1763424653,92207.94654351962,0.85,0.86
1763424654,92207.93259846552,0.85,0.86
1763424655,92209.39463302438,0.85,0.86
1763424656,92209.63923397183,0.85,0.86
1763424657,92209.54999236323,0.85,0.86
1763424658,92208.09251115019,0.85,0.86
1763424659,92209.01136154548,0.84,0.86
1763424660,92202.95812257522,0.85,0.87
1763424661,92206.71296911837,0.86,0.87
1763424662,92205.75842476122,0.86,0.87
1763424663,92209.55782999068,0.86,0.87
1763424664,92208.38392903814,0.86,0.87
1763424665,92207.41321043829,0.85,0.87
1763424666,92206.20191922868,0.85,0.87
1763424667,92203.65573955087,0.85,0.87
1763424668,92205.04023955087,0.85,0.87
1763424670,92203.6610845612,0.85,0.87
1763424671,92203.08681453743,0.85,0.87
1763424672,92204.07425799695,0.85,0.87
1763424673,92204.4818841008,0.85,0.87
1763424674,92204.72349167817,0.86,0.88
1763424675,92204.75814720655,0.86,0.88
1763424676,92204.72640016301,0.86,0.88
1763424677,92204.72640016301,0.86,0.88
1763424678,92211.34795845461,0.86,0.88
1763424679,92211.34795845461,0.87,0.88
1763424680,92210.52637273332,0.87,0.89
1763424681,92209.10347396634,0.88,0.89
1763424682,92209.10347396634,0.88,0.89
1763424683,92208.61573217934,0.88,0.89
1763424684,92209.07246435869,0.88,0.9
1763424685,92210.09937125146,0.87,0.89
1763424686,92210.09937125146,0.87,0.89
