timestamp,symbol,price,delta,delta_pct,sigma,seconds_left,prob_up,bid,ask
1763128622,btc/usd,95316.083,-4.851,-0.0001,0.000119,178,0.488,0.99,
1763128623,btc/usd,95313.099,-7.835,-0.0001,0.000117,177,0.479,0.99,
1763128624,btc/usd,95311.433,-9.502,-0.0001,0.000114,176,0.474,0.99,
1763128626,btc/usd,95315.346,-5.588,-0.0001,0.000112,174,0.484,0.99,
1763128627,btc/usd,95305.899,-15.035,-0.0002,0.000112,173,0.457,0.99,
1763128628,btc/usd,95328.276,7.342,0.0001,0.000115,172,0.521,0.99,
1763128630,btc/usd,95336.419,15.485,0.0002,0.000115,170,0.544,0.99,
1763128631,btc/usd,95305.301,-15.633,-0.0002,0.000122,169,0.459,0.99,
1763128633,btc/usd,95252.361,-68.574,-0.0007,0.000149,167,0.355,0.99,
1763128634,btc/usd,95256.796,-64.138,-0.0007,0.000145,166,0.36,0.99,
1763128635,btc/usd,95256.796,-64.138,-0.0007,0.000145,165,0.36,0.99,
1763128637,btc/usd,95226.386,-94.548,-0.001,0.000147,163,0.299,0.99,
1763128638,btc/usd,95183.837,-137.097,-0.0014,0.000159,162,0.239,0.99,
1763128639,btc/usd,95104.09,-216.845,-0.0023,0.000182,161,0.161,0.97,0.98
1763128641,btc/usd,95102.827,-218.107,-0.0023,0.00018,159,0.156,0.96,0.98
1763128642,btc/usd,95039.995,-280.939,-0.0029,0.000197,158,0.117,0.95,0.97
1763128643,btc/usd,95064.31,-256.625,-0.0027,0.0002,157,0.141,0.96,0.97
1763128645,btc/usd,95064.31,-256.625,-0.0027,0.000198,155,0.138,0.97,
1763128646,btc/usd,95049.207,-271.727,-0.0029,0.000197,154,0.121,0.97,0.98
1763128648,btc/usd,95091.963,-228.971,-0.0024,0.00021,152,0.177,0.97,0.98
1763128649,btc/usd,95085.847,-235.087,-0.0025,0.000208,151,0.167,0.97,0.98
1763128650,btc/usd,95094.341,-226.593,-0.0024,0.000205,150,0.172,0.97,0.98
1763128652,btc/usd,95081.725,-239.21,-0.0025,0.000204,148,0.156,0.97,0.98
1763128653,btc/usd,95069.145,-251.789,-0.0026,0.000201,147,0.139,0.98,0.99
1763128654,btc/usd,95069.145,-251.789,-0.0026,0.000201,146,0.138,0.98,0.99
1763128656,btc/usd,95092.834,-228.1,-0.0024,0.0002,144,0.159,0.98,0.99
1763128657,btc/usd,95087.241,-233.693,-0.0025,0.000197,143,0.149,0.98,0.99
1763128658,btc/usd,95087.241,-233.693,-0.0025,0.000197,142,0.147,0.97,0.99
1763128660,btc/usd,95078.112,-242.823,-0.0025,0.000194,140,0.133,0.98,0.99
1763128661,btc/usd,95064.154,-256.781,-0.0027,0.000193,139,0.118,0.98,0.99
1763128663,btc/usd,95061.08,-259.855,-0.0027,0.000191,137,0.112,0.97,0.99
1763128664,btc/usd,95051.667,-269.268,-0.0028,0.000189,136,0.099,0.97,0.98
1763128665,btc/usd,95041.245,-279.689,-0.0029,0.000187,135,0.089,0.98,0.99
1763128667,btc/usd,95056.827,-264.108,-0.0028,0.000186,133,0.098,0.97,0.99
1763128668,btc/usd,95059.538,-261.396,-0.0027,0.000185,132,0.098,0.97,
1763128669,btc/usd,95074.701,-246.234,-0.0026,0.000183,131,0.109,0.99,
1763128671,btc/usd,95074.701,-246.234,-0.0026,0.000183,129,0.108,0.97,
1763128672,btc/usd,95068.517,-252.418,-0.0026,0.000182,128,0.099,0.97,
1763128673,btc/usd,95073.044,-247.89,-0.0026,0.00018,127,0.1,0.97,
1763128675,btc/usd,95068.9,-252.034,-0.0026,0.000179,125,0.093,0.97,
1763128676,btc/usd,95051.577,-269.357,-0.0028,0.000179,124,0.078,0.98,
1763128677,btc/usd,95040.471,-280.464,-0.0029,0.000177,123,0.066,0.98,
1763128679,btc/usd,95043.565,-277.369,-0.0029,0.000176,121,0.066,0.99,
1763128680,btc/usd,95071.65,-249.284,-0.0026,0.000176,120,0.088,0.99,
1763128682,btc/usd,95087.073,-233.861,-0.0025,0.000177,118,0.101,0.99,
1763128683,btc/usd,95087.073,-233.861,-0.0025,0.000176,117,0.098,0.99,
